Config,Version,GFLOPS,L1,L2,L3,Mem,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,Version,GFLOPS,L1,L2,L3,Mem,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,Version,GFLOPS,L1,L2,L3,Mem,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,Version,GFLOPS,L1,L2,L3,Mem,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize
100 56 56 64 256 1 1 0 0 1,2,85.409,5,2,3,0,34592,89608,6475784,0,3,87.333,5,4,1,0,34592,333328,4007936,0,4,85.412,5,2,3,0,34592,89608,6475784,0,5,87.678,5,4,1,0,34592,333328,4007936,0
100 56 56 64 64 1 1 0 0 1,2,83.204,5,2,1,0,34592,89608,1593344,0,3,83.903,5,2,1,0,34592,89608,1593344,0,4,84.13,5,2,1,0,34592,89608,1593344,0,5,84.166,5,2,1,0,34592,89608,1593344,0
100 56 56 64 64 3 3 1 1 1,2,97.375,5,10,1,0,34592,952080,1782272,0,3,97.096,5,10,1,0,34592,952080,1782272,0,4,85.035,5,2,9,0,34592,89608,14794248,0,5,85.271,5,2,9,0,34592,89608,14794248,0
100 56 56 256 64 1 1 0 0 1,2,85.095,5,2,3,0,34592,89608,6475784,0,3,91.575,5,4,1,0,34592,333328,4007936,0,4,84.842,5,2,3,0,34592,89608,6475784,0,5,85.067,5,2,3,0,34592,89608,6475784,0
100 28 28 256 512 1 1 0 0 1,2,92.828,7,3,2,0,95528,1673224,3735560,0,3,95.626,7,4,1,0,95528,1327120,2846720,0,4,93.092,7,3,2,0,95528,1673224,3735560,0,5,87.093,7,2,3,0,95528,367624,6411272,0
100 28 28 256 128 1 1 0 0 1,2,90.845,7,3,2,0,95528,1673224,2138112,0,3,93.93,7,4,1,0,95528,454664,1292288,0,4,91.197,7,3,2,0,95528,1673224,2138112,0,5,94.905,8,3,1,0,126240,1302544,1101824,0
100 28 28 128 128 3 3 1 1 1,2,98.702,9,11,0,0,155940,4285196,0,0,3,98.304,8,11,1,0,126240,2774032,1422336,0,4,98.4,7,13,0,0,95528,8680456,0,0,5,97.537,8,12,0,0,126240,7995152,0,0
100 28 28 128 512 1 1 0 0 1,2,91.351,7,4,1,0,95528,1873928,2035712,0,3,92.943,8,3,1,0,126240,682000,2197504,0,4,92.292,7,4,1,0,95528,1873928,2035712,0,5,86.529,7,2,3,0,95528,367624,5747712,0
100 28 28 512 128 1 1 0 0 1,2,92.831,7,2,3,0,95528,821256,5595136,0,3,94.635,7,4,1,0,95528,897032,2197504,0,4,92.938,7,2,3,0,95528,821256,5595136,0,5,95.68,8,3,1,0,126240,1302544,2035712,0
100 14 14 512 1024 1 1 0 0 1,2,93.264,7,4,1,0,81192,1325072,3120128,0,3,65.764,7,2,3,0,81192,306696,7447048,0,4,93.762,7,4,1,0,81192,1325072,3120128,0,5,69.896,7,2,3,0,81192,626184,5158408,0
100 14 14 512 256 1 1 0 0 1,2,95.661,7,5,0,0,81192,2270224,0,0,3,96.435,7,4,1,0,81192,1306640,1083392,0,4,96.016,7,5,0,0,81192,2270224,0,0,5,93.485,7,5,0,0,81192,1772560,0,0
100 14 14 256 256 3 3 1 1 1,2,92.651,9,10,1,0,127268,2700572,2182144,0,3,65.757,7,8,5,0,81192,2805780,10074116,0,4,95.149,7,12,1,0,81192,4765720,2182144,0,5,91.176,7,12,1,0,81192,4632344,2166784,0
100 14 14 256 1024 1 1 0 0 1,2,91.857,7,4,1,0,81192,792592,1936384,0,3,72.848,7,2,3,0,81192,146952,4151816,0,4,92.371,7,4,1,0,81192,792592,1936384,0,5,69.684,7,2,3,0,81192,626184,3909128,0
100 14 14 1024 256 1 1 0 0 1,2,91.512,7,3,2,0,81192,1274888,2854920,0,3,70.514,7,3,2,0,81192,1480712,3100680,0,4,92.021,7,3,2,0,81192,1274888,2854920,0,5,90.557,7,4,1,0,81192,761872,1936384,0
100 7 7 1024 2048 1 1 0 0 1,2,80.482,7,4,1,0,74024,1001232,8716032,0,3,49.969,7,2,3,0,74024,567048,25590024,0,4,81.336,7,4,1,0,74024,1001232,8716032,0,5,48.065,7,4,1,0,74024,2966032,8453888,0
100 7 7 1024 512 1 1 0 0 1,2,80.046,7,4,1,0,74024,1001232,2123520,0,3,44.957,7,2,3,0,74024,567048,6371592,0,4,80.747,7,4,1,0,74024,1001232,2123520,0,5,69.179,7,4,1,0,74024,748048,2254592,0
100 7 7 512 512 3 3 1 1 1,2,75.663,9,8,3,0,112932,917524,11059208,0,3,49.491,7,3,10,0,74024,1220616,47654928,0,4,81.851,7,11,2,0,74024,3893776,9869320,0,5,69.497,7,11,2,0,74024,4096528,9803784,0
100 7 7 512 2048 1 1 0 0 1,2,79.754,7,4,1,0,74024,538384,4552448,0,3,47.931,7,2,3,0,74024,276232,13023496,0,4,80.315,7,4,1,0,74024,538384,4552448,0,5,46.433,7,4,1,0,74024,2966032,4159232,0
100 7 7 2048 512 1 1 0 0 1,2,79.641,7,4,1,0,74024,1926928,4159232,0,3,48.064,7,2,3,0,74024,1148680,12630280,0,4,80.419,7,4,1,0,74024,1926928,4159232,0,5,69.453,7,4,1,0,74024,748048,4552448,0
